STATION,NAME,DATE,AWND,PRCP,TAVG
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",02/04/2017,14.32,0,46
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",03/04/2017,7.61,0.11,50
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",04/04/2017,20.8,0,51
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",05/04/2017,12.97,0,50
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",06/04/2017,10.51,0,49
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",07/04/2017,8.5,0.03,51
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",08/04/2017,14.54,0.01,45
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",09/04/2017,11.41,0,40
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",10/04/2017,8.28,0.19,44
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",11/04/2017,16.78,0,56
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",12/04/2017,8.95,0,51
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",13/04/2017,14.32,0,51
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",14/04/2017,5.82,0.04,56
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",15/04/2017,12.08,0,60
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",16/04/2017,10.96,0,56
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",17/04/2017,9.84,0.11,56
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",18/04/2017,9.17,0,62
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",19/04/2017,12.08,0,56
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",20/04/2017,15.66,0.87,51
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",21/04/2017,12.08,0.06,58
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",22/04/2017,13.87,0.19,55
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",23/04/2017,18.79,0,48
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",24/04/2017,21.7,0,44
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",25/04/2017,10.74,0,46
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",26/04/2017,10.51,0,51
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",27/04/2017,14.76,0,55
